"id","t","jp","pid","s","kid","kt","i","st","mi","nc","ju","mj","ut"
"676","DATO' HAJI MOHD JIDIN BIN SHAFEE ","AHLI MAJLIS MESYUARAT KERAJAAN NEGERI","1","L","03400","parlimen","null","KLH","2018-04-28T11:37:31.023Z","1","32218","2802","1244"
"702","USTAZ HAJI AZLISHAM","","2","L","15126","dun","null","HD","2018-04-28T13:13:48.200Z","3","1630","404","421"
"682","MOHD ZAIDI MOHD SAID","","1","L","04400","parlimen","null","KLH","2018-04-28T11:35:17.800Z","3","19866","15668","658"
"47","DATO' SERI AZMIN ALI","DATO MENTERI BESAR SELANGOR","37","L","09919","dun","null","MNG","2018-04-28T12:28:11.647Z","3","30892","25512","268"
"647","DATUK SERI HAJI AHMAD HAMZAH","","1","L","13900","parlimen","null","MNG","2018-04-28T12:48:35.580Z","3","26560","219","912"
"521","HASSAN BIN ABDUL KARIM","PEGUAM","37","L","15900","parlimen","null","MNG","2018-04-28T13:00:16.410Z","4","61615","24726","1342"
"706","GOH B. KOON","","9","L","04618","dun","null","HD","2018-04-28T12:58:25.293Z","2","117","14880","253"
"161","ISMAIL BIN MOHAMED","","1","L","14300","parlimen","null","KLH","2018-04-28T13:56:44.427Z","1","16631","6927","693"
"694","MOHAMAD RATU B. MANSOR.","PENIAGA","20","L","00402","dun","029","HD","2018-04-28T11:44:29.540Z","3","86","2452","353"
"700","ZAKIAH BINTI TUKIRIN","","2","P","16044","dun","null","HD","2018-04-28T12:31:22.637Z","3","3233","8590","495"
"720","SARAS","","79","P","06631","dun","null","HD","2018-04-28T12:39:16.193Z","2","944","15187","206"
"719","USTAZ MOHD FAUZAN MADZLAN","TIADA","2","L","09713","dun","null","KLH","2018-04-28T13:02:49.147Z","2","5672","2860","187"
"726","DATO' ZAINOL FADZI PAHARUDIN","","1","L","07349","dun","null","MNG","2018-04-28T12:42:01.033Z","2","9265","1939","396"
"108","DR DAROYAH BINTI ALWI","","37","P","10943","dun","null","MNG","2018-04-28T13:10:37.677Z","2","17867","5370","536"
"670","NORAINI BINTI HUSSIN ","TIADA","2","P","10500","parlimen","null","KLH","2018-04-28T12:35:01.330Z","3","14448","57137","968"
"728","HASBULLAH NAJIB","","2","L","15229","dun","null","HD","2018-04-28T11:45:00.333Z","3","3092","1668","550"
"736","OSMAN BIN SAPIAN","","37","L","16147","dun","null","MNG","2018-04-28T14:45:13.760Z","1","21137","9178","350"
"739","HASBULLAH NAJIB","","2","L","15200","parlimen","null","HD","2018-04-28T11:44:41.143Z","1","8242","23053","921"
"730","CIKGU ROSLAN","","2","L","15432","dun","null","KLH","2018-04-28T11:45:05.007Z","2","3689","3080","343"
"709","USTAZ ROSLI BIN ABDUL JABAR","","2","L","08315","dun","null","MNG","2018-04-28T13:39:59.073Z","2","8198","1339","316"
"714","AHMAD FATAHI BIN OMAR","TIADA","1","L","01118","dun","null","KLH","2018-04-28T11:36:27.230Z","2","7892","8049","332"
"741","IBRAHIM HANAFIAH","","37","L","05400","parlimen","null","KLH","2018-04-28T12:21:06.550Z","3","6353","5528","595"
"654","AHMAD SHABERY CHEEK","MENTERI KABINET","1","L","04000","parlimen","null","KLH","2018-04-28T12:55:58.087Z","3","37715","2163","1126"
"666","HANNAH YEOH","TIADA","37","P","11700","parlimen","null","MNG","2018-04-28T11:08:17.797Z","3","53124","45702","289"
"693","USTAZ ZAINAL ABIDIN SAAD","","2","L","07452","dun","null","KLH","2018-04-28T13:03:51.480Z","2","3638","1626","628"
"705","YEW TEONG LOOK","AHLI POLITIK","1","L","11600","parlimen","null","KLH","2018-04-28T11:34:43.090Z","1","17940","24238","525"
"265","USTAZ FATHAN","","2","L","02006","dun","null","MNG","2018-04-28T12:38:02.503Z","2","10549","3474","232"
"729","NG TIEN CHEE (EDDIE)","","37","L","10227","dun","null","MNG","2018-04-28T13:27:09.460Z","2","41768","35538","286"
"66","USTAZ HAJI MOHD FADLIN BIN TASLIMIN","BEKERJA SENDIRI","2","L","09304","dun","null","KLH","2018-04-28T12:26:57.770Z","2","2351","2844","201"
"538","TEE BOON TSONG","","37","L","16352","dun","null","MNG","2018-04-28T12:39:04.053Z","1","28274","18902","483"
"759","JIMMY PUAH WEE TSE","","37","L","16351","dun","null","MNG","2018-04-28T12:38:59.013Z","2","17105","10057","306"
"664","SIM CHEE KEONG","","37","L","04500","parlimen","null","MNG","2018-04-28T11:46:53.520Z","2","63784","52877","1109"
"131","TEO LEE HO","","1","L","16351","dun","null","KLH","2018-04-28T12:38:59.013Z","3","7048","10057","306"
"716","FAIZ FADZIL","","37","L","04411","dun","null","MNG","2018-04-28T11:36:49.543Z","1","9708","2981","191"
"735","CHUA WEI KIAT","","37","L","09714","dun","null","MNG","2018-04-28T13:17:00.343Z","3","29946","23860","366"
"659","KHASIM BIN ABDUL AZIZ","BEKERJA SENDIRI","2","L","09920","dun","null","KLH","2018-04-28T12:29:14.000Z","1","7358","14790","359"
"6","ELIZABETH WONG","AHLI POLITIK","37","L","10637","dun","null","MNG","2018-04-28T11:56:45.853Z","1","47748","40233","296"
"144","HAHASRIN BIN HASHIM","","1","L","15534","dun","null","MNG","2018-04-28T12:34:48.657Z","3","11409","3424","248"
"751","DATO' SRI REEZAL MERICAN B NAINA MERICAN","","1","L","04100","parlimen","null","MNG","2018-04-28T12:41:03.460Z","1","22459","4736","715"
"733","DATO' KHUSAIRI TALIB","","1","L","07758","dun","null","MNG","2018-04-28T12:31:44.940Z","2","8327","2183","350"
"731","RAMKARPAL SINGH A/L KARPAL SINGH","","37","L","05100","parlimen","null","MNG","2018-04-28T12:15:49.970Z","2","65622","55951","528"
"703","ASMADI ABU TALIB","TIADA","1","L","01733","dun","null","KLH","2018-04-28T12:11:13.443Z","1","9454","438","429"
"758","ASMUNI AWI","","37","L","06323","dun","null","MNG","2018-04-28T12:24:43.090Z","2","20052","3532","539"
"535","AKMAL NASIR ","","37","L","16000","parlimen","null","MNG","2018-04-28T12:31:05.440Z","2","50052","19782","1056"
"680","HENG SINN YEE","TIADA","1","P","12300","parlimen","null","HD","2018-04-28T11:04:11.500Z","1","7006","49665","275"
"145","CHIAM YOK MENG","","1","L","14002","dun","null","KLH","2018-04-28T12:21:17.163Z","1","9335","7001","557"
"727","BUKHORI BIN GHAZALI","","2","L","04103","dun","null","KLH","2018-04-28T12:35:30.453Z","2","4622","127","296"
"683","DATUK SERI HAJI RUSLIN BIN HAJI HASAN","-","37","L","13403","dun","null","KLH","2018-04-28T12:48:51.840Z","3","3225","1479","168"
"712","BASIR BIN ISMAIL","","1","L","03509","dun","null","KLH","2018-04-28T11:29:21.260Z","3","8065","2717","194"
"260","DATO RAMZI","AHLI PERNIAGAAN","1","L","03100","parlimen","null","KLH","2018-04-28T12:37:20.750Z","1","20911","7992","861"
